"","country","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Population.growth.rate..average.annual...","Sex.ratio..m.per.100.f..2017.","GDP.per.capita..current.US..","Female Labor Paricipation","Male Labor Participation","Unemployment....of.labour.force.","Food.production.index..2004.2006.100.","International.trade..Balance..million.US..","Urban.population....of.total.population.","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Individuals.using.the.Internet..per.100.inhabitants.","Forested.area....of.land.area.","Energy.supply.per.capita..Gigajoules."
"61","Rwanda","EasternAfrica",26338,12208,494.9,2.5,96.2,697.3,86.1,83.3,2.4,139,-1157,28.8,4.2,"67.1/63.1",44,7.5,NA,3.6,"6.9/9.1",61.3,70.5,62,"0.8/0.1","86.6/71.9"
"62","Saint Vincent and the Grenadines","Caribbean",389,110,281.8,NA,101.7,6739.2,56.4,76.9,19.1,115,-288,50.6,2,"74.9/70.7",16.5,8.6,NA,NA,NA,13,103.6,58,"0.2/1.9","95.1/95.1"
"63","Samoa","Polynesia",2842,196,69.4,0.8,106.6,4006,23.3,58.2,6.5,107,-294,19.1,4.2,"77.4/71.1",18,7.2,NA,NA,".../...",10,58.5,93,"0.2/1.0","97.5/99.3"
"64","Senegal","WesternAfrica",196712,15851,82.3,3,96.6,901.1,45.3,70.5,9.3,127,-2838,43.7,5,"67.5/63.8",43.9,4.7,NA,7.4,"7.8/12.9",42.7,100,123,"8.9/0.6","92.9/67.3"
"65","Sierra Leone","WesternAfrica",72300,7557,104.7,2.3,98.1,694.8,65.1,68.8,3.1,168,-492,39.9,4.8,"50.7/49.6",94.4,11.1,NA,2.7,".../...",12.4,89.5,177,"1.3/0.2","84.9/47.8"
"66","Solomon Islands","Melanesia",28896,611,21.8,2.1,103.4,1841.6,61.1,73.5,31.4,118,-17,22.3,4.1,"71.1/68.3",30,5.1,0.2,NA,NA,2,72.7,245,"0.2/0.4","93.2/77.2"
"67","Somalia","EasternAfrica",637657,14742,23.5,2.9,99.3,144.5,33.3,75.9,6.6,112,394,39.6,6.6,"56.5/53.3",79.5,NA,NA,NA,NA,24.2,52.5,175,"0.6/0.1","69.6/8.8"
"68","South Africa","SouthernAfrica",1221037,56717,46.8,1.4,96.4,5773,46.4,61.1,26,126,-633,64.8,2.6,"63.0/56.1",36.5,8.8,0.8,6,"23.3/15.7",42.2,159.3,581,"489.8/9.1","99.6/81.4"
"69","South Sudan","EasternAfrica",658841,12576,20.6,3.3,100.4,1067,NA,NA,NA,NA,1640,18.8,5.2,"56.0/54.1",77.7,2.7,NA,1.8,NA,28.5,23.9,49,"1.5/0.1","66.7/56.9"
"70","Suriname","SouthAmerica",163820,563,3.6,1,100.7,8985.3,40.5,68.6,9.9,152,193,66,2.5,"74.2/67.8",17.4,5.7,NA,NA,".../...",25.5,180.7,83,"2.0/3.7","98.1/88.4"
"71","Tajikistan","CentralAsia",142600,8921,63.7,2.2,100.9,925.9,59.6,77.9,10.8,172,-2132,26.8,3.5,"73.5/67.7",38.9,6.9,1.7,5.2,"24.0/33.6",19,98.6,45,"5.2/0.6","93.1/66.7"
"72","Tanzania","EasternAfrica",947303,57310,64.7,3.1,97.8,877.3,73.9,83.2,2.7,180,-3134,31.6,5.2,"64.8/60.8",44,5.6,NA,3.5,"2.5/4.9",36.4,75.9,1082,"11.6/0.2","77.2/45.5"
"73","Thailand","South-easternAsia",513120,69038,135.1,0.4,95.2,5814.8,62.7,79.8,0.6,126,18260,50.4,1.5,"78.4/70.8",11.2,4.1,NA,4.1,"57.3/40.5",4.9,125.8,611,"316.2/4.7","97.6/98.0"
"74","The Democratic Republic of the Congo","MiddleAfrica",2344858,81340,35.9,3.3,99.6,486.2,70.4,71.8,3.6,104,-803,42.5,6.4,"59.5/56.7",73.2,4.3,NA,2.2,"4.2/9.1",8.9,53,349,"4.7/0.1","81.1/31.2"
